trip_id,start_time,end_time,headway_secs,exact_times
32191A463B2278,07:30:00,19:35:59,3600,1
32177A463B2278,06:15:00,18:20:59,3600,1
31415A462B2278,16:15:00,18:30:59,3600,1
31415A462B2278,06:15:00,08:20:59,3600,1
30443A463B2278,06:15:00,20:50:59,3600,1
31320A462B2278,15:45:00,18:20:59,3600,1
30994A462B2278,06:45:00,07:50:59,1800,1
30992A462B2278,16:18:00,18:50:59,3600,1
30992A462B2278,06:18:00,08:50:59,3600,1
31316A463B2278,05:45:00,19:50:59,3600,1
30459A536B2278,15:45:00,16:50:59,3600,1
30459A536B2278,07:45:00,08:50:59,3600,1
30435A463B2278,06:15:00,18:20:59,3600,1
30991A462B2278,06:45:00,08:50:59,3600,1
30991A462B2278,15:45:00,17:50:59,3600,1
30454A463B2278,15:15:00,20:20:59,3600,1
30454A463B2278,06:15:00,13:20:59,3600,1
30428A463B2278,06:45:00,19:50:59,3600,1
31024A462B2278,14:00:00,17:55:59,600,1
31024A462B2278,07:00:00,09:55:59,600,1
31024A462B2278,10:00:00,13:55:59,420,1
30440A463B2278,05:45:00,07:50:59,7200,1
30977A527B2278,18:45:00,19:50:59,3600,1
30975A527B2278,12:45:00,14:45:59,3600,1
30444A463B2278,05:45:00,19:50:59,3600,1
30985A462B2278,16:15:00,18:20:59,3600,1
30985A462B2278,06:15:00,08:20:59,3600,1
30984A462B2278,16:15:00,18:20:59,3600,1
30984A462B2278,06:15:00,08:20:59,3600,1
30982A463B2278,13:45:00,17:50:59,3600,1
30981A463B2278,09:45:00,11:50:59,3600,1
30974A462B2278,06:15:00,08:20:59,3600,1
30974A462B2278,16:15:00,18:20:59,3600,1
30439A463B2278,06:15:00,20:20:59,3600,1
30972A462B2278,15:45:00,17:50:59,3600,1
30972A462B2278,06:45:00,08:50:59,3600,1
30970A462B2278,15:45:00,17:50:59,3600,1
30970A462B2278,06:45:00,08:50:59,3600,1
30966A463B2278,06:15:00,20:20:59,3600,1
30436A463B2278,05:45:00,19:50:59,3600,1
30965A462B2278,16:15:00,18:20:59,3600,1
30965A462B2278,06:15:00,08:20:59,3600,1
30980A527B2278,06:45:00,08:50:59,7200,1
30433A463B2278,06:15:00,20:20:59,3600,1
30943A463B2278,06:15:00,20:20:59,3600,1
30421A463B2278,05:45:00,19:50:59,3600,1
30959A462B2278,06:15:00,08:20:59,3600,1
30958A462B2278,16:15:00,18:20:59,3600,1
30959A462B2278,16:15:00,18:20:59,3600,1
30463A463B2278,05:45:00,19:50:59,3600,1
30956A462B2278,15:45:00,17:50:59,3600,1
30956A462B2278,06:45:00,08:50:59,3600,1
30430A463B2278,05:45:00,19:50:59,3600,1
31416A463B2278,05:45:00,20:20:59,3600,1
30953A462B2278,15:45:00,17:50:59,3600,1
30953A462B2278,06:45:00,08:50:59,3600,1
30429A463B2278,06:15:00,20:20:59,3600,1
30427A463B2278,05:45:00,19:50:59,3600,1
30426A463B2278,06:15:00,20:20:59,3600,1
30425A463B2278,05:45:00,19:50:59,3600,1
30424A463B2278,07:15:00,20:50:59,3600,1
30949A462B2278,06:45:00,08:50:59,3600,1
30949A462B2278,15:45:00,17:50:59,3600,1
30946A462B2278,15:45:00,17:50:59,3600,1
30432A463B2278,05:45:00,19:50:59,3600,1
30946A462B2278,06:45:00,08:50:59,3600,1
30958A462B2278,06:15:00,08:20:59,3600,1
30420A463B2278,06:15:00,20:20:59,3600,1
30418A463B2278,05:45:00,19:50:59,3600,1
30503A462B2278,16:15:00,18:20:59,3600,1
30503A462B2278,06:15:00,08:20:59,3600,1
30417A463B2278,06:15:00,20:20:59,3600,1
30485A462B2278,15:45:00,17:50:59,3600,1
30485A462B2278,06:45:00,08:50:59,3600,1
30466A462B2278,16:15:00,18:20:59,3600,1
30431A463B2278,06:15:00,20:20:59,3600,1
30466A462B2278,06:15:00,08:20:59,3600,1
30467A462B2278,06:45:00,08:50:59,3600,1
30467A462B2278,15:45:00,17:50:59,3600,1
30411A463B2278,06:15:00,20:20:59,3600,1
26252A482B2276,13:00:00,21:05:59,7200,1
26249A481B2276,17:00:00,22:05:59,3600,1
26248A479B2277,10:00:00,15:05:59,3600,1
26245A475B2277,08:00:00,17:05:59,3600,1
26247A479B2277,10:00:00,15:05:59,3600,1
26246A475B2277,08:00:00,17:05:59,3600,1
26242A475B2277,08:00:00,14:05:59,10800,1
26241A475B2277,08:00:00,14:05:59,10800,1
30951A462B2278,06:15:00,08:20:59,3600,1
30951A462B2278,14:15:00,18:20:59,3600,1
30423A463B2278,05:45:00,19:50:59,3600,1
38313A627B2278,06:45:00,08:50:59,3600,1
38313A627B2278,15:45:00,17:50:59,3600,1
89714A537B2278,14:20:00,17:25:59,10800,1
31015A537B2278,11:20:00,21:45:59,10800,1
31016A537B2278,12:50:00,20:15:59,10800,1
89715A537B2278,09:50:00,18:55:59,10800,1
89690A462B2278,12:45:00,20:30:59,10800,1
